name,label
1,HÔPITAL MILITAIRE D'ABIDJAN ,
2,CMA  BASE NAVALE D'ABIDJAN,
3,CMA 1er BCP AKOUEDO,
4,CMA 2e BATAILLON D'INFANTERIE DALOA ,
5,CMA 3e BATAILLON  D'INFANTERIE BOUAKÉ,
6,CMA 4e BATAILLON D’INFANTERIE DE KORHOGO ,
7,CMA AKOUEDO NOUVEAU CAMP,
8,CMA BASE AÉRIENNE ABIDJAN,
9, CMA CENTRE PRINCIPAL DE SANTÉ DE LA GENDARMERIE NATIONALE AGBAN ,
10,CMA GSPM DE L'INDENIÉ,
11,CSA  1er BATAILLON DU GÉNIE BOUAKE,
12,CSA ESCADRON DE GENDARMERIE SOUBRÉ ,
13,CSA  EMPT BINGERVILLE ,
14,CSA 2e LÉGION DE GENDARMERIE DALOA,
15,CSA 3e COMPAGNIE GSPM BOUAKÉ ,
16,CSA 3e LEGION GENDARMERIE BOUAKÉ ,
17,CSA 4e LÉGION  GENDARMERIE KORHOGO ,
18,CSA 4e COMPAGNIE GSPM YOPOUGON,
19,CSA 5e COMPAGNIE GSPM YAMOUSSOUKRO,
20,CSA 5e LEGION GENDARMERIE SAN PEDRO ,
21,CSA 6e COMPAGNIE GSPM KORHOGO,
22,CSA 6e LÉGION GENDARMERIE YAMOUSSOUKRO,
23,CSA 11e LEGION DE  GENDARMERIE BONDOUKOU ,
24,CSA 8e LEGION GENDARMERIE MAN,
25,CSA ABENGOUROU,
26,CSA ACADEMIE DES FORCES ARMÉES ZAMBAKRO,
27,CSA BASE AÉRIENNE BOUAKÉ ,
28,CSA BATAILLON DE SECURISATION DE L'EST BONDOUKOU,
29,CSA BATAILLON DE SECURISATION DE L'OUEST  MAN ,
30,CSA BATAILLON DE SECURISATION NORD-OUEST  ODIENNÉ,
31,CSA-CEOP  SEGUELA ,
32,CSA DE GRABO,
33,CSA  BATAILLON DE COMMANDEMENT ET DE SOUTIEN ,
34,CSA DU COMMANDEMENT SUPÉRIEUR DE LA GENDARMERIE NATIONALE ,
35,CSA ECOLE DE GENDARMERIE D'ABIDJAN,
36,CSA ECOLE DE GENDARMERIE DE TOROGUHE,
37,CSA ECOLE NATIONALE DES SOUS-OFFICERS D'ACTIVE BOUAKE ,
38,CSA ESCADRON 2/1 GENDARMERIE  YOPOUGON ,
39,CSA ESCADRON 3/1  GENDARMERIE ABOBO,
40,CSA ESCADRON 4/1 GENDARMERIE KOUMASSI,
41,CSA ESCADRON 5/1  GENDARMERIE ABOISSO ,
42,CSA ESCADRON DE GENDARMERIE TOUBA,
43,CSA ESCADRON DE GENDARMERIE DIMBOKRO ,
44,CSA FORCES SPÉCIALES ADIAKÉ ,
45,CSA BASE FORCES SPÉCIALES N'DOTRE,
46,CSA FORCES SPECIALES YAMOUSSOUKRO,
47,CSA GARDE REPUBLICAINE PLATEAU ,
48,CSA GARDE REPUBLICAINE TREICHVILLE,
49,CSA GARDE REPUBLICAINE YAMOUSSOUKRO,
50,CSA ESCADRON DE GENDARMERIE DAOUKRO,
51,CSA GENDARMERIE GARNISON BOUNA ,
52,CSA 9e LEGION GENDARMERIE ODIENNE ,
53,CSA GROUPE DE SECURITÉ PORTUAIRE DE LA  GENDARMERIE ABIDJAN ,
54,CSA GMMG PLATEAU,
55,CSA 2e COMPAGNIE GSPM MARCORY ZONE 4 ,
56,CSA GUIGLO ,
57,CSA  CENTRE DE FORMATION NAVALE ATTECOUBE,
58,CSA BASE FORCES SPÉCIALES COCODY,
59,CSA 7e COMPAGNIE GSPM NZIANOUAN,
60,CSA UNITE DE COMMANDEMENT ET DE SOUTIEN  ANYAMA,
61,CSA 7e LEGION GENDARMERIE ABENGOUROU,
62,CSA COMPAGNIE REGIONALE DU GENIE ODIENNE,
63,CSA GSPR COCODY,
64,HÔPITAL MILITAIRE DE FERKESSEDOUGOU,
65,CSA ENSOA BOUAKE
